bearing,model,lat_t4_ms,lat_nano_ms,sla_ms,k,rounding,s,c_eff,n_acquisitions,n_processed,threshold_g,n_alarms,first_alarm_idx,first_alarm_lead_s,failure_idx,actionable
Bearing1_1,PatchTST,5.86,58.6,100.0,10.0,ceil,1,1.0,300,300,0.7371,62,238.0,430,281,True
Bearing1_1,Lag-Llama,7.77,77.7,100.0,10.0,ceil,1,1.0,300,300,0.7371,62,238.0,430,281,True
Bearing1_1,Moirai-S,53.73,537.3,100.0,10.0,ceil,6,0.1667,300,50,0.7371,9,246.0,350,281,True
Bearing1_2,PatchTST,5.86,58.6,100.0,10.0,ceil,1,1.0,200,200,0.8026,45,155.0,290,184,False
Bearing1_2,Lag-Llama,7.77,77.7,100.0,10.0,ceil,1,1.0,200,200,0.8026,45,155.0,290,184,False
Bearing1_2,Moirai-S,53.73,537.3,100.0,10.0,ceil,6,0.1667,200,34,0.8026,7,162.0,220,184,False
Bearing2_1,PatchTST,5.86,58.6,100.0,10.0,ceil,1,1.0,46,46,0.9276,0,,0,45,False
Bearing2_1,Lag-Llama,7.77,77.7,100.0,10.0,ceil,1,1.0,46,46,0.9276,0,,0,45,False
Bearing2_1,Moirai-S,53.73,537.3,100.0,10.0,ceil,6,0.1667,46,8,0.9276,0,,0,45,False
Bearing3_1,PatchTST,5.86,58.6,100.0,10.0,ceil,1,1.0,120,120,0.9762,32,88.0,210,109,False
Bearing3_1,Lag-Llama,7.77,77.7,100.0,10.0,ceil,1,1.0,120,120,0.9762,32,88.0,210,109,False
Bearing3_1,Moirai-S,53.73,537.3,100.0,10.0,ceil,6,0.1667,120,20,0.9762,4,96.0,130,109,False
Bearing3_2,PatchTST,5.86,58.6,100.0,10.0,ceil,1,1.0,60,60,1.0624,18,42.0,110,53,False
Bearing3_2,Lag-Llama,7.77,77.7,100.0,10.0,ceil,1,1.0,60,60,1.0624,18,42.0,110,53,False
Bearing3_2,Moirai-S,53.73,537.3,100.0,10.0,ceil,6,0.1667,60,10,1.0624,2,48.0,50,53,False
