bearing,model,lat_t4_ms,lat_nano_ms,sla_ms,k,rounding,s,c_eff,n_acquisitions,n_processed,threshold_g,n_alarms,first_alarm_idx,first_alarm_lead_s,failure_idx,actionable
Bearing1_1,PatchTST,5.86,58.6,50.0,10.0,round,1,1.0,300,300,0.7371,62,238.0,430,281,True
Bearing1_1,Lag-Llama,7.77,77.7,50.0,10.0,round,2,0.5,300,150,0.7371,30,240.0,410,281,True
Bearing1_1,Moirai-S,53.73,537.3,50.0,10.0,round,11,0.0909,300,28,0.7371,5,253.0,280,281,False
Bearing1_2,PatchTST,5.86,58.6,50.0,10.0,round,1,1.0,200,200,0.8026,45,155.0,290,184,False
Bearing1_2,Lag-Llama,7.77,77.7,50.0,10.0,round,2,0.5,200,100,0.8026,23,154.0,300,184,True
Bearing1_2,Moirai-S,53.73,537.3,50.0,10.0,round,11,0.0909,200,19,0.8026,4,165.0,190,184,False
Bearing2_1,PatchTST,5.86,58.6,50.0,10.0,round,1,1.0,46,46,0.9276,0,,0,45,False
Bearing2_1,Lag-Llama,7.77,77.7,50.0,10.0,round,2,0.5,46,23,0.9276,0,,0,45,False
Bearing2_1,Moirai-S,53.73,537.3,50.0,10.0,round,11,0.0909,46,5,0.9276,0,,0,45,False
Bearing3_1,PatchTST,5.86,58.6,50.0,10.0,round,1,1.0,120,120,0.9762,32,88.0,210,109,False
Bearing3_1,Lag-Llama,7.77,77.7,50.0,10.0,round,2,0.5,120,60,0.9762,15,90.0,190,109,False
Bearing3_1,Moirai-S,53.73,537.3,50.0,10.0,round,11,0.0909,120,11,0.9762,2,99.0,100,109,False
Bearing3_2,PatchTST,5.86,58.6,50.0,10.0,round,1,1.0,60,60,1.0624,18,42.0,110,53,False
Bearing3_2,Lag-Llama,7.77,77.7,50.0,10.0,round,2,0.5,60,30,1.0624,8,44.0,90,53,False
Bearing3_2,Moirai-S,53.73,537.3,50.0,10.0,round,11,0.0909,60,6,1.0624,1,55.0,0,53,False
