bearing,model,sigma,coverage_theoretical,coverage_effective,sampling_step,trace_duration_s,n_acquisitions,n_processed,threshold_g,n_alarms,first_alarm_idx,first_alarm_lead_s,failure_idx,actionable
Bearing1_1,PatchTST,4.0,1.0,1.0,1,3000,300,300,0.767,60,240.0,410,281,True
Bearing1_1,PatchTST,5.0,1.0,1.0,1,3000,300,300,0.7969,58,242.0,390,281,True
Bearing1_1,Lag-Llama,4.0,1.0,1.0,1,3000,300,300,0.767,60,240.0,410,281,True
Bearing1_1,Lag-Llama,5.0,1.0,1.0,1,3000,300,300,0.7969,58,242.0,390,281,True
Bearing1_1,Moirai-S,4.0,0.1861,0.1667,6,3000,300,50,0.767,9,246.0,350,281,True
Bearing1_1,Moirai-S,5.0,0.1861,0.1667,6,3000,300,50,0.7969,8,252.0,290,281,False
Bearing1_2,PatchTST,4.0,1.0,1.0,1,2000,200,200,0.8368,44,156.0,280,184,False
Bearing1_2,PatchTST,5.0,1.0,1.0,1,2000,200,200,0.871,44,156.0,280,184,False
Bearing1_2,Lag-Llama,4.0,1.0,1.0,1,2000,200,200,0.8368,44,156.0,280,184,False
Bearing1_2,Lag-Llama,5.0,1.0,1.0,1,2000,200,200,0.871,44,156.0,280,184,False
Bearing1_2,Moirai-S,4.0,0.1861,0.17,6,2000,200,34,0.8368,7,162.0,220,184,False
Bearing1_2,Moirai-S,5.0,0.1861,0.17,6,2000,200,34,0.871,7,162.0,220,184,False
Bearing2_1,PatchTST,4.0,1.0,1.0,1,460,46,46,0.9685,0,,0,45,False
Bearing2_1,PatchTST,5.0,1.0,1.0,1,460,46,46,1.0094,0,,0,45,False
Bearing2_1,Lag-Llama,4.0,1.0,1.0,1,460,46,46,0.9685,0,,0,45,False
Bearing2_1,Lag-Llama,5.0,1.0,1.0,1,460,46,46,1.0094,0,,0,45,False
Bearing2_1,Moirai-S,4.0,0.1861,0.1739,6,460,46,8,0.9685,0,,0,45,False
Bearing2_1,Moirai-S,5.0,0.1861,0.1739,6,460,46,8,1.0094,0,,0,45,False
Bearing3_1,PatchTST,4.0,1.0,1.0,1,1200,120,120,1.0183,31,89.0,200,109,False
Bearing3_1,PatchTST,5.0,1.0,1.0,1,1200,120,120,1.0603,30,90.0,190,109,False
Bearing3_1,Lag-Llama,4.0,1.0,1.0,1,1200,120,120,1.0183,31,89.0,200,109,False
Bearing3_1,Lag-Llama,5.0,1.0,1.0,1,1200,120,120,1.0603,30,90.0,190,109,False
Bearing3_1,Moirai-S,4.0,0.1861,0.1667,6,1200,120,20,1.0183,4,96.0,130,109,False
Bearing3_1,Moirai-S,5.0,0.1861,0.1667,6,1200,120,20,1.0603,4,96.0,130,109,False
Bearing3_2,PatchTST,4.0,1.0,1.0,1,600,60,60,1.1166,17,43.0,100,53,False
Bearing3_2,PatchTST,5.0,1.0,1.0,1,600,60,60,1.1707,17,43.0,100,53,False
Bearing3_2,Lag-Llama,4.0,1.0,1.0,1,600,60,60,1.1166,17,43.0,100,53,False
Bearing3_2,Lag-Llama,5.0,1.0,1.0,1,600,60,60,1.1707,17,43.0,100,53,False
Bearing3_2,Moirai-S,4.0,0.1861,0.1667,6,600,60,10,1.1166,2,48.0,50,53,False
Bearing3_2,Moirai-S,5.0,0.1861,0.1667,6,600,60,10,1.1707,2,48.0,50,53,False
