sla_ms,k_equiv_at_sla100,bearing,model,lat_nano_ms,s,c_eff,first_alarm_lead_s,n_alarms,actionable
10,100.0,Bearing1_1,PatchTST,58.6,6,0.1667,350,9,True
10,100.0,Bearing1_1,Lag-Llama,77.7,8,0.125,330,7,True
10,100.0,Bearing1_1,Moirai-S,537.3,54,0.0185,0,0,False
10,100.0,Bearing1_2,PatchTST,58.6,6,0.1667,220,7,False
10,100.0,Bearing1_2,Lag-Llama,77.7,8,0.125,240,5,False
10,100.0,Bearing1_2,Moirai-S,537.3,54,0.0185,0,0,False
10,100.0,Bearing2_1,PatchTST,58.6,6,0.1667,0,0,False
10,100.0,Bearing2_1,Lag-Llama,77.7,8,0.125,0,0,False
10,100.0,Bearing2_1,Moirai-S,537.3,54,0.0185,0,0,False
10,100.0,Bearing3_1,PatchTST,58.6,6,0.1667,130,4,False
10,100.0,Bearing3_1,Lag-Llama,77.7,8,0.125,130,3,False
10,100.0,Bearing3_1,Moirai-S,537.3,54,0.0185,0,0,False
10,100.0,Bearing3_2,PatchTST,58.6,6,0.1667,50,2,False
10,100.0,Bearing3_2,Lag-Llama,77.7,8,0.125,0,1,False
10,100.0,Bearing3_2,Moirai-S,537.3,54,0.0185,0,0,False
50,20.0,Bearing1_1,PatchTST,58.6,2,0.5,410,30,True
50,20.0,Bearing1_1,Lag-Llama,77.7,2,0.5,410,30,True
50,20.0,Bearing1_1,Moirai-S,537.3,11,0.0909,280,5,False
50,20.0,Bearing1_2,PatchTST,58.6,2,0.5,300,23,True
50,20.0,Bearing1_2,Lag-Llama,77.7,2,0.5,300,23,True
50,20.0,Bearing1_2,Moirai-S,537.3,11,0.0909,190,4,False
50,20.0,Bearing2_1,PatchTST,58.6,2,0.5,0,0,False
50,20.0,Bearing2_1,Lag-Llama,77.7,2,0.5,0,0,False
50,20.0,Bearing2_1,Moirai-S,537.3,11,0.0909,0,0,False
50,20.0,Bearing3_1,PatchTST,58.6,2,0.5,190,15,False
50,20.0,Bearing3_1,Lag-Llama,77.7,2,0.5,190,15,False
50,20.0,Bearing3_1,Moirai-S,537.3,11,0.0909,100,2,False
50,20.0,Bearing3_2,PatchTST,58.6,2,0.5,90,8,False
50,20.0,Bearing3_2,Lag-Llama,77.7,2,0.5,90,8,False
50,20.0,Bearing3_2,Moirai-S,537.3,11,0.0909,0,1,False
100,10.0,Bearing1_1,PatchTST,58.6,1,1.0,430,62,True
100,10.0,Bearing1_1,Lag-Llama,77.7,1,1.0,430,62,True
100,10.0,Bearing1_1,Moirai-S,537.3,6,0.1667,350,9,True
100,10.0,Bearing1_2,PatchTST,58.6,1,1.0,290,45,False
100,10.0,Bearing1_2,Lag-Llama,77.7,1,1.0,290,45,False
100,10.0,Bearing1_2,Moirai-S,537.3,6,0.1667,220,7,False
100,10.0,Bearing2_1,PatchTST,58.6,1,1.0,0,0,False
